State,Income ($),Personal Consumption Expenditure ($),GDP (million $),Median House Value ($),Population,Population in Poverty,Year
Kentucky,40267,27082,155593,91900,4120513,714080,2007
Louisiana,40926,28059,209774,99200,4166756,775425,2007
Maine,45888,35060,49345,148300,1281433,154224,2007
Maryland,68080,36716,290381,283800,5477839,453699,2007
Massachusetts,62365,41494,377939,348500,6244824,621286,2007
Michigan,47950,30605,402425,131900,9832533,1376658,2007
Minnesota,55802,35231,259388,180500,5066767,481947,2007
Mississippi,36338,24772,91975,80600,2821649,581534,2007
Missouri,45114,30300,241716,115300,5708785,742486,2007
Montana,43531,32174,35683,151000,933264,131790,2007
Nebraska,47085,31132,82890,99700,1719387,192822,2007
Nevada,55062,31996,131544,248800,2528598,269953,2007
New Hampshire,62369,39495,59990,229600,1274795,90204,2007
New Jersey,67035,40500,482149,336700,8505944,729211,2007
New Mexico,41452,28861,80525,116200,1925509,349159,2007
New York,53514,36367,1128484,237400,18775329,2570014,2007
North Carolina,44670,27748,395593,116100,8793290,1258988,2007
North Dakota,43753,32591,28696,79100,612565,74035,2007
Ohio,46597,30375,494307,120600,11151314,1464133,2007
Oklahoma,41567,26705,144254,87000,3498298,557030,2007
Oregon,48730,32545,170516,224200,3670490,474189,2007
Pennsylvania,48576,32820,553126,124700,11998834,1393026,2007
Rhode Island,53568,34812,47958,279600,1018722,122128,2007
South Carolina,43329,27897,161106,103800,4270155,641758,2007
South Dakota,43424,31225,35275,90000,768499,100699,2007
Tennessee,42367,28125,243410,114600,5996979,953865,2007
Texas,47548,29353,1179068,90800,23284143,3791183,2007
Utah,55109,29303,116138,198800,2601491,251084,2007
Vermont,49907,36929,24792,184600,600231,60589,2007
Virginia,59562,34436,392659,184000,7466205,742680,2007
Washington,55591,35025,343482,247600,6337707,725172,2007
West Virginia,37060,26321,58579,82100,1763476,298172,2007
Wisconsin,50578,31790,243935,153100,5447306,588287,2007
Wyoming,51731,34552,36739,149400,508840,44064,2007
Alabama,42666,26929,173712,90500,4541756,712835,2008
Alaska,68460,40775,54853,182300,669783,56396,2008
Arizona,50958,30873,259238,178400,6379266,938924,2008
Arkansas,38815,26262,103228,84400,2774152,480551,2008
California,61021,34874,1994484,413100,35984461,4778118,2008
Colorado,56993,35447,256091,223000,4835406,552889,2008
Connecticut,68595,41513,231745,288300,3390665,314806,2008
Delaware,57989,36656,54719,214500,850832,85094,2008
District of Columbia,57936,49342,98849,438200,561874,96769,2008
Florida,47778,32315,754780,179200,17923483,2370808,2008
Georgia,50861,29111,412155,134500,9418066,1380842,2008
Hawaii,67214,35803,66728,550700,1260602,115131,2008
Idaho,47576,28824,56220,166000,1489034,187805,2008
Illinois,56235,33997,647589,170300,12568150,1532238,2008
Indiana,47966,29973,275278,106500,6175885,807506,2008
Iowa,48980,30652,136943,103500,2899804,334919,2008
Kansas,50177,30453,126152,93600,2716652,307478,2008
Kentucky,41538,27655,159429,90300,4154968,720586,2008
Louisiana,43733,28529,218847,101000,4290038,744218,2008
Maine,46581,36033,50166,158300,1278878,157553,2008
Maryland,70545,37388,298430,298000,5496119,442994,2008
Massachusetts,65401,42644,384595,344000,6271556,626670,2008
Michigan,48591,31455,387517,128900,9769537,1410276,2008
Minnesota,57288,35916,265497,181800,5090468,490911,2008
Mississippi,37790,25349,94968,80500,2838810,601617,2008
Missouri,46867,31253,249633,115300,5738696,768092,2008
Montana,43654,33200,36648,151600,942874,139707,2008
Nebraska,49693,32020,85744,105400,1727276,186727,2008
Nevada,56361,32057,128760,239000,2566460,290197,2008
New Hampshire,63731,40563,60004,243400,1277397,97158,2008
New Jersey,70378,41085,494007,339900,8504286,741472,2008
New Mexico,43508,29916,84193,123000,1941428,332769,2008
New York,56033,37336,1109714,269100,18964419,2581491,2008
North Carolina,46549,27936,407119,123600,8947541,1301929,2008
North Dakota,45685,34274,31913,85900,615412,73622,2008
Ohio,47988,30803,493679,120100,11172113,1492154,2008
Oklahoma,42822,27723,157524,84100,3523927,561666,2008
Oregon,50169,32801,180094,241300,3716666,506145,2008
Pennsylvania,50713,33817,565988,131600,12011873,1458394,2008
Rhode Island,55701,35684,47450,275800,1012988,118556,2008
South Carolina,44625,28423,163211,104600,4339418,679584,2008
South Dakota,46032,32295,37494,91900,774737,96490,2008
Tennessee,43614,28336,250519,116900,6057621,938077,2008
Texas,50043,29802,1242323,94500,23727821,3760431,2008
Utah,56633,29562,116706,222700,2695225,257649,2008
Vermont,52104,38194,25348,198500,599715,63288,2008
Virginia,61233,35089,399994,195100,7518394,768031,2008
Washington,58078,35656,353744,268100,6418113,728323,2008
West Virginia,37989,27315,62165,76600,1767440,300670,2008
Wisconsin,52094,32592,245513,157900,5474027,569090,2008
Wyoming,53207,36025,43647,162400,518368,48776,2008
Alabama,40489,26389,169385,91200,4588899,804683,2009
Alaska,66953,40052,49655,175200,682412,61653,2009
Arizona,48745,29695,243300,160300,6475485,1069897,2009
Arkansas,37823,25762,101003,82100,2806056,527378,2009
California,58931,33296,1915684,351600,36202780,5128708,2009
Colorado,55430,34183,250285,216700,4917061,634387,2009
Connecticut,67034,40405,227003,278300,3409901,320554,2009
Delaware,56860,35962,56236,220500,860972,93251,2009
District of Columbia,59290,48128,99255,431900,570093,104901,2009
Florida,44736,31359,722825,158400,18124789,2707925,2009
Georgia,47590,28099,406139,127900,9535714,1574649,2009
Hawaii,64098,35178,65275,511800,1264202,131007,2009
Idaho,44926,27730,54199,158900,1511950,216115,2009
Illinois,53966,33317,641880,166500,12574351,1677093,2009
Indiana,45424,29214,263430,104400,6228236,896972,2009
Iowa,48044,30410,137571,104300,2905436,342934,2009
Kansas,47817,29757,122029,95300,2732685,365033,2009
Kentucky,40072,27473,156514,92600,4187582,777295,2009
Louisiana,42492,28093,210791,101600,4367637,755460,2009
